Valores Aplicados em Educaçăo              Funçăo 12;Dotaçăo Atual;Despesa Autorizada;Despesa Empenhada;Despesa Liquidada;Despesa Paga
(+) Fonte 100;5194807181;4391367744;1507285929;1327220952;1263529655
(+) Fonte 102;0;0;0;0;0
(+) Fonte 107;0;0;0;0;0
(+) Fonte 108;0;0;0;0;0
(+) Fonte 122;729518752,4;692538312,7;206046959,7;134125487,3;133636757,6
(+) Fonte 129;0;0;0;0;0
(+) Fonte 148;76691306;0;0;0;0
(+) TOTAL DAS RECEITAS TRANSFERIDAS AO FUNDEB;4746950290;4746950290;4746950290;4746950290;4746950290
(-) SUPERÁVIT PERMITIDO NO EXERCÍCIO IMEDIATAMENTE ANTERIOR NĂO APLICADO ATÉ O PRIMEIRO QUADRIMESTRE DO EXERCÍCIO ATUAL;0;0;0;0;0
(-) RECEITAS DO FUNDEB NĂO UTILIZADAS NO EXERCÍCIO, EM VALOR SUPERIOR A 10%;0;0;58377935,29;58377935,29;117624716,4
(-) Despesa no PT 2253 - Nutriçăo Escolar para Unidades da FAETEC;28799700;28799700;9668742,45;4367482,94;3898194,12
(-) Despesa no PT 2701 - Disponibilizaçăo de Refeiçăo;0;0;0;0;0
(-) Despesa no PT 8302 - Fornecimento de Refeiçăo Preparada;27409324;27409324;8950000;6484764,46;6484764,46
(-) Despesa com o Rio Previdęncia (UGE 1234__);0;0;0;0;0
(-) Despesa com CEPERJ (U.O. 21410) ;0;0;0;0;0
(-) Despesa com FAPERJ (U.O. 40410);0;0;0;0;0
(-) Despesa no Elemento 3370%;0;0;0;0;0
(-) Despesas com Multas/Juros (31900703, 31901308, 31901312, 33903994 e 33904797);0;0;5965245,16;5907632,82;5721170,03
(-) Despesas com Indenizaçőes e Restituiçőes (33909300 e 44909300);3813630;3813630;804128,33;755945,18;600734,63
(-) Despesas com Auxílios (33900800);34975968;34975968;16406971,37;13200704,37;13190823,51
(-) Despesas com Inativos e Pensionistas (31900100, 31900300, 31900500 e 33905900);159870;159870;50849,64;50849,64;50849,64
(-) Despesas de material de consumo diversas (33903001, 33903003, 33903007, 33903012, 44905204);0;0;2680656,52;1311858,34;1191219,34
(-) Despesas de Exercícios Anteriores (Elemento de Despesa 92);0;0;80637255,55;80484448,37;79752729,73
(-) Restos a Pagar Cancelados (I) - (II);0;0;0;0;0
   (I) Total dos Restos a Pagar Cancelados - MDE;0;0;0;0;0
   (II) Restos a Pagar Cancelados - item 5.3.1 do TAC - (Açăo Civil Pública 0054872- 30.2018.8.19.0001);0;0;0;0;0
VALOR TOTAL DESTINADO A APLICAÇĂO EM EDUCAÇĂO (II);10652809037;9735697855;6276741395;6037355108;5915601501
